iter	Passed	Remaining
581	2497	1794
582	2502	1789
583	2506	1785
584	2510	1781
585	2514	1776
586	2517	1771
587	2522	1767
588	2527	1763
589	2531	1759
590	2535	1754
591	2539	1750
592	2544	1746
593	2548	1741
594	2552	1737
595	2556	1733
596	2560	1728
597	2565	1724
598	2567	1719
599	2572	1714
600	2576	1710
601	2581	1706
602	2585	1702
603	2590	1698
604	2594	1694
605	2599	1689
606	2603	1685
607	2607	1681
608	2611	1676
609	2615	1672
610	2620	1668
611	2624	1663
612	2628	1659
613	2632	1655
614	2637	1650
615	2641	1646
616	2645	1642
617	2649	1638
618	2654	1633
619	2658	1629
620	2662	1624
621	2666	1620
622	2670	1616
623	2676	1612
624	2680	1608
625	2685	1604
626	2690	1600
627	2694	1595
628	2698	1591
629	2702	1587
630	2707	1583
631	2711	1579
632	2716	1575
633	2721	1571
634	2728	1568
635	2733	1564
636	2738	1560
637	2743	1556
638	2748	1552
639	2753	1548
640	2757	1544
641	2762	1540
642	2767	1536
643	2772	1532
644	2776	1528
645	2781	1524
646	2789	1521
647	2793	1517
648	2796	1512
649	2800	1508
650	2804	1503
651	2808	1499
652	2812	1494
653	2816	1490
654	2820	1485
655	2824	1481
656	2828	1476
657	2833	1472
658	2837	1468
659	2841	1463
660	2845	1459
661	2850	1455
662	2854	1450
663	2858	1446
664	2862	1442
665	2866	1437
666	2870	1433
667	2875	1428
668	2879	1424
669	2883	1420
670	2888	1416
671	2893	1412
672	2898	1408
673	2902	1404
674	2906	1399
675	2910	1395
676	2914	1390
677	2918	1386
678	2922	1381
679	2926	1376
680	2929	1372
681	2934	1368
682	2938	1363
683	2941	1359
684	2945	1354
685	2949	1350
686	2953	1345
687	2957	1341
688	2961	1336
689	2965	1332
690	2969	1327
691	2972	1323
692	2977	1318
693	2981	1314
694	2984	1309
695	2988	1305
696	2992	1300
697	2996	1296
698	3000	1291
699	3004	1287
700	3007	1282
701	3011	1278
702	3015	1274
703	3019	1269
704	3023	1265
705	3027	1260
706	3031	1256
707	3035	1252
708	3040	1247
709	3044	1243
710	3048	1239
711	3053	1235
712	3059	1231
713	3064	1227
714	3069	1223
715	3074	1219
716	3078	1215
717	3082	1210
718	3087	1206
719	3092	1202
720	3096	1198
721	3100	1193
722	3105	1189
723	3109	1185
724	3113	1181
725	3117	1176
726	3122	1172
727	3126	1168
728	3131	1163
729	3135	1159
730	3139	1155
731	3144	1151
732	3148	1146
733	3154	1143
734	3158	1138
735	3162	1134
736	3166	1129
737	3170	1125
738	3174	1121
739	3179	1117
740	3183	1112
741	3187	1108
742	3191	1103
743	3195	1099
744	3200	1095
745	3204	1091
746	3208	1086
747	3213	1082
748	3217	1078
749	3221	1073
750	3225	1069
751	3229	1065
752	3233	1060
753	3238	1056
754	3243	1052
755	3247	1048
756	3251	1043
757	3256	1039
758	3260	1035
759	3265	1031
760	3268	1026
761	3273	1022
762	3277	1018
763	3282	1013
764	3286	1009
765	3291	1005
766	3295	1001
767	3299	996
768	3304	992
769	3309	988
770	3314	984
771	3318	980
772	3323	975
773	3327	971
774	3332	967
775	3336	963
776	3340	958
777	3345	954
778	3350	950
779	3354	946
780	3362	943
781	3367	938
782	3371	934
783	3376	930
784	3380	925
785	3385	921
786	3389	917
787	3394	913
788	3399	909
789	3403	904
790	3406	900
791	3411	895
792	3416	891
793	3421	887
794	3426	883
795	3430	879
796	3434	874
797	3439	870
798	3443	866
799	3448	862
800	3455	858
801	3460	854
802	3464	849
803	3468	845
804	3475	841
805	3479	837
806	3483	833
807	3489	829
808	3493	824
809	3498	820
810	3502	816
811	3507	812
812	3512	807
813	3517	803
814	3522	799
815	3526	795
816	3530	790
817	3534	786
818	3538	781
819	3543	777
820	3547	773
821	3552	769
822	3557	765
823	3561	760
824	3565	756
825	3569	752
826	3573	747
827	3578	743
828	3582	738
829	3586	734
830	3590	730
831	3594	725
832	3599	721
833	3603	717
834	3607	712
835	3611	708
836	3616	704
837	3620	699
838	3627	696
839	3632	691
840	3637	687
841	3641	683
842	3646	679
843	3650	674
844	3654	670
845	3658	666
846	3663	661
847	3668	657
848	3672	653
849	3676	648
850	3680	644
851	3684	640
852	3689	635
853	3693	631
854	3697	627
855	3702	622
856	3706	618
857	3710	614
858	3714	609
859	3717	605
860	3721	600
861	3725	596
862	3729	592
863	3733	587
864	3737	583
865	3745	579
866	3748	575
867	3752	570
868	3756	566
869	3760	561
870	3763	557
871	3767	553
872	3771	548
873	3775	544
874	3779	539
875	3782	535
876	3786	531
877	3790	526
878	3794	522
879	3798	517
880	3802	513
881	3806	509
882	3810	504
883	3814	500
884	3818	496
885	3822	491
886	3826	487
887	3830	483
888	3835	478
889	3839	474
890	3844	470
891	3848	465
892	3852	461
893	3856	457
894	3860	452
895	3864	448
896	3868	444
897	3872	439
898	3876	435
899	3880	431
900	3884	426
901	3888	422
902	3892	418
903	3895	413
904	3899	409
905	3904	405
906	3908	400
907	3912	396
908	3916	392
909	3920	387
910	3924	383
911	3928	379
912	3932	374
913	3936	370
914	3940	366
915	3944	361
916	3947	357
917	3950	352
918	3954	348
919	3958	344
920	3962	339
921	3967	335
922	3971	331
923	3976	327
924	3981	322
925	3985	318
926	3990	314
927	3994	309
928	3998	305
929	4002	301
930	4007	297
931	4011	292
932	4016	288
933	4020	284
934	4025	279
935	4033	275
936	4037	271
937	4041	267
938	4046	262
939	4051	258
940	4056	254
941	4061	250
942	4065	245
943	4069	241
944	4074	237
945	4078	232
946	4082	228
947	4087	224
948	4092	219
949	4097	215
950	4101	211
951	4106	207
952	4110	202
953	4114	198
954	4119	194
955	4124	189
956	4129	185
957	4134	181
958	4139	176
959	4144	172
960	4148	168
961	4152	164
962	4156	159
963	4160	155
964	4165	151
965	4169	146
966	4174	142
967	4178	138
968	4182	133
969	4187	129
970	4191	125
971	4195	120
972	4199	116
973	4204	112
974	4208	107
975	4212	103
976	4218	99
977	4222	94
978	4227	90
979	4231	86
980	4236	82
981	4241	77
982	4245	73
983	4250	69
984	4254	64
985	4259	60
986	4264	56
987	4268	51
988	4273	47
989	4277	43
990	4282	38
991	4286	34
992	4291	30
993	4295	25
994	4300	21
995	4304	17
996	4308	12
997	4313	8
998	4320	4
999	4326	0
